ID,Age,Level,Position,Grip Strength (Bottom Hand),Grip Strength (Top Hand),Combined Grip,Vertical Jump,Med Ball SitUp,Med Ball Chest,Horsepower
1,20,College,Catcher,68,75,143,16,27,26.67,69.67
2,20,College,Catcher,57,58,115,22,20.33,20.92,63.25
3,19,College,Catcher,58.6,57.1,115.7,22,20,20.67,62.67
4,20,College,Catcher,58.7,57,115.7,25.8,25,22,72.8
5,18,College,Catcher,55.3,58.8,114.1,33.3,22.67,21.67,77.64
6,19,College,Catcher,41.9,38.2,80.1,27.6,20,18.25,65.85
7,21,College,Catcher,78.6,64.9,143.5,29.7,25.5,26,81.2
8,18,College,Centerfield,68,63,131,41,26.92,26.25,94.17
9,19,College,Centerfield,53.8,63.4,117.2,31.8,22.33,21.42,75.55
10,19,College,First Base,61.6,60.3,121.9,31.9,25.75,24.75,82.4
11,20,College,First Base,53.3,46.4,99.7,27.1,23.25,20.92,71.27
12,19,College,First Base,37.2,39.9,77.1,27.7,14.42,15.67,57.79
13,19,College,Corner OF,53,47.5,100.5,28,21.33,20.5,69.83
14,20,College,Corner OF,52,49.9,101.9,23.4,20.4,19.1,62.9
15,19,College,Corner OF,65.8,70.5,136.3,29.9,20.5,19.25,69.65
16,20,College,Corner OF,69.1,78.5,147.6,31.3,21.75,20.25,73.3
17,20,College,Corner OF,63.6,47.9,111.5,28.6,24.42,25.26,78.28
18,20,College,Pitcher,41.5,54.4,95.9,26,16.83,17.17,60
19,20,College,Corner OF,42.9,58.8,101.7,31,23.25,23.42,77.67
20,22,College,Corner OF,84.3,76.1,160.4,27,26,23.5,76.5
21,19,College,Corner OF,69.8,62.6,132.4,25.2,21.25,24.08,70.53
22,19,College,Second Base,51,46,97,29,21.67,22.83,73.5
23,21,College,Second Base,53,53,106,23,21.17,19.17,63.34
24,20,College,Second Base,56,58,114,25,23.75,23.25,72
25,22,College,Second Base,52.6,58,110.6,30,24,21.25,75.25
26,21,College,Second Base,62.4,59.6,122,27.3,22.92,22.33,72.55
27,21,College,Second Base,46.4,44.6,91,27.9,19.5,17.5,64.9
28,18,College,Second Base,56.1,58.2,114.3,26,19.5,21.25,66.75
29,19,College,Shortstop,77.9,81.3,159.2,31.3,23.92,22.33,77.55
30,20,College,Shortstop,57.6,55.8,113.4,29.9,20.75,21.26,71.91
31,20,College,Third Base,71.9,74.6,146.5,26.2,25.25,21.58,73.03
32,19,College,Third Base,52.2,52.6,104.8,23.5,22.25,22.5,68.25
33,22,College,Corner OF,58,54,112,30.7,21.6,24.2,76.5
34,20,College,Shortstop,68.9,65,133.9,29.9,24.75,23.75,78.4
35,19,College,Corner OF,73.2,75.2,148.4,35,26.33,22,83.33
36,20,College,Shortstop,63.8,59.5,123.3,32,25,23.3,80.3
37,18,High School,Catcher,51,52,103,19.5,19.08,18.92,57.5
38,15,High School,Catcher,52,46,98,24,18.25,19.67,61.92
39,16,High School,Catcher,64,61,125,23,18.67,22.33,64
40,16,High School,Catcher,56.9,62.2,119.1,26.8,19.83,21.5,68.13
41,16,High School,Catcher,56.2,54.9,111.1,24,18.5,20,62.5
42,17,High School,Catcher,61.8,55.9,117.7,31,20.83,21.67,73.5
43,16,High School,Catcher,58.7,55.6,114.3,24.5,17.92,20.5,62.92
44,16,High School,Catcher,49,58,107,22.5,20.5,20.5,63.5
45,17,High School,Centerfield,52,58,110,26,21.45,22.6,70.05
46,15,High School,Centerfield,32,40,72,23,17.67,19.67,60.34
47,16,High School,Centerfield,54.3,57.7,112,27,21,21.67,69.67
48,16,High School,Centerfield,43.7,48.7,92.4,28,24,22,74
49,17,High School,Centerfield,67.4,65.6,133,29,27.58,23.5,80.08
50,18,High School,Centerfield,74.8,63.5,138.3,36,24.67,23.08,83.75
